year,level_norm,city
2013,112.9,Cape May
2014,127.5,Cape May
year,level_norm,city
1984,0.0,Charleston
1985,-69.6,Charleston
1986,-6.7,Charleston
1987,-8.7,Charleston
1988,-68.5,Charleston
1989,-70.8,Charleston
1990,-43.8,Charleston
1991,-20.6,Charleston
1992,48.6,Charleston
1993,30.4,Charleston
1994,-9.1,Charleston
1995,49.6,Charleston
1996,16.0,Charleston
1997,61.3,Charleston
1998,52.1,Charleston
1999,-38.6,Charleston
2000,-27.5,Charleston
2001,-43.9,Charleston
2002,-20.8,Charleston
2003,27.7,Charleston
2004,6.2,Charleston
2005,19.0,Charleston
2006,31.6,Charleston
2007,-42.7,Charleston
2008,-34.3,Charleston
2009,-18.2,Charleston
2010,40.6,Charleston
2011,-16.1,Charleston
2012,28.3,Charleston
2013,-63.4,Charleston
2014,54.7,Charleston
year,level_norm,city
1984,0.0,Charlotte Amalie
1985,15.2,Charlotte Amalie
1986,19.4,Charlotte Amalie
1987,-19.1,Charlotte Amalie
1988,-32.0,Charlotte Amalie
1989,-31.3,Charlotte Amalie
1990,-9.8,Charlotte Amalie
1991,43.5,Charlotte Amalie
1992,17.4,Charlotte Amalie
1993,18.4,Charlotte Amalie
1994,37.6,Charlotte Amalie
1995,-12.7,Charlotte Amalie
1996,-20.9,Charlotte Amalie
1997,15.1,Charlotte Amalie
1998,38.5,Charlotte Amalie
1999,-16.9,Charlotte Amalie
2000,-13.6,Charlotte Amalie
2001,46.7,Charlotte Amalie
2002,7.0,Charlotte Amalie
2003,48.2,Charlotte Amalie
2004,5.6,Charlotte Amalie
2005,29.3,Charlotte Amalie
2006,70.8,Charlotte Amalie
2007,46.6,Charlotte Amalie
2008,46.7,Charlotte Amalie
2009,-8.2,Charlotte Amalie
2010,61.1,Charlotte Amalie
2011,41.8,Charlotte Amalie
2012,84.7,Charlotte Amalie
2013,49.8,Charlotte Amalie
2014,87.1,Charlotte Amalie
year,level_norm,city
1984,0.0,Chesapeake Bay
1985,-27.9,Chesapeake Bay
1986,-29.8,Chesapeake Bay
1987,7.4,Chesapeake Bay
1988,-66.7,Chesapeake Bay
1989,-31.1,Chesapeake Bay
1990,-54.0,Chesapeake Bay
1991,2.3,Chesapeake Bay
1992,19.6,Chesapeake Bay
1993,40.4,Chesapeake Bay
1994,-9.8,Chesapeake Bay
1995,9.5,Chesapeake Bay
1996,64.3,Chesapeake Bay
1997,66.8,Chesapeake Bay
1998,110.8,Chesapeake Bay
1999,59.2,Chesapeake Bay
2000,31.5,Chesapeake Bay
2001,37.2,Chesapeake Bay
2002,8.1,Chesapeake Bay
2003,67.6,Chesapeake Bay
2004,67.5,Chesapeake Bay
2005,124.3,Chesapeake Bay
2006,87.3,Chesapeake Bay
2007,47.1,Chesapeake Bay
2008,70.0,Chesapeake Bay
2009,134.3,Chesapeake Bay
2010,144.9,Chesapeake Bay
2011,128.8,Chesapeake Bay
2012,140.2,Chesapeake Bay
2013,113.8,Chesapeake Bay
2014,149.5,Chesapeake Bay
year,level_norm,city
1984,0.0,Chichijima
1985,-51.8,Chichijima
1986,23.7,Chichijima
1987,66.9,Chichijima
1988,44.3,Chichijima
1989,65.2,Chichijima
1990,115.5,Chichijima
1991,61.8,Chichijima
1992,47.1,Chichijima
1993,105.8,Chichijima
1994,114.5,Chichijima
1995,73.6,Chichijima
1996,53.9,Chichijima
1997,89.8,Chichijima
1998,152.9,Chichijima
1999,100.3,Chichijima
2000,178.0,Chichijima
2001,127.6,Chichijima
2002,92.1,Chichijima
2003,152.3,Chichijima
2004,93.1,Chichijima
2005,135.0,Chichijima
2006,122.5,Chichijima
2007,114.3,Chichijima
