group,value,label
2007,53.0,Honolulu
2008,60.4,Honolulu
2009,13.6,Honolulu
2010,36.8,Honolulu
2011,33.2,Honolulu
2012,36.6,Honolulu
2013,49.8,Honolulu
2014,69.0,Honolulu
1964,0.0,Johnston Is.
1965,-73.0,Johnston Is.
1966,-15.7,Johnston Is.
1967,-62.9,Johnston Is.
1968,-71.8,Johnston Is.
1969,-24.5,Johnston Is.
1970,24.0,Johnston Is.
1971,-36.8,Johnston Is.
1972,-89.1,Johnston Is.
1973,-62.4,Johnston Is.
1974,-44.2,Johnston Is.
1975,-20.0,Johnston Is.
1976,-92.8,Johnston Is.
1977,-35.5,Johnston Is.
1978,-59.7,Johnston Is.
1979,-71.4,Johnston Is.
1980,-7.6,Johnston Is.
1981,48.4,Johnston Is.
1982,-73.1,Johnston Is.
1983,-26.9,Johnston Is.
1984,26.8,Johnston Is.
1985,-68.4,Johnston Is.
1986,-73.4,Johnston Is.
1987,-39.2,Johnston Is.
1988,31.1,Johnston Is.
1989,-58.8,Johnston Is.
1990,-54.5,Johnston Is.
1991,-66.1,Johnston Is.
1992,10.6,Johnston Is.
1993,-27.6,Johnston Is.
1994,-19.0,Johnston Is.
1995,-18.8,Johnston Is.
1996,22.6,Johnston Is.
1997,-25.1,Johnston Is.
1998,-14.0,Johnston Is.
1999,20.6,Johnston Is.
2000,-1.8,Johnston Is.
2001,16.0,Johnston Is.
2002,-19.2,Johnston Is.
2003,41.3,Johnston Is.
2004,-5.6,Johnston Is.
2008,22.7,Johnston Is.
2009,-38.5,Johnston Is.
2010,42.3,Johnston Is.
2011,18.4,Johnston Is.
2012,3.5,Johnston Is.
2013,46.0,Johnston Is.
2014,-32.7,Johnston Is.
1964,0.0,Kahului Harbor
1965,-8.8,Kahului Harbor
1966,-0.9,Kahului Harbor
1967,-35.9,Kahului Harbor
1968,19.6,Kahului Harbor
1969,22.5,Kahului Harbor
1970,-31.1,Kahului Harbor
1971,-35.5,Kahului Harbor
1972,-42.2,Kahului Harbor
1973,-5.9,Kahului Harbor
1974,31.7,Kahului Harbor
1975,-25.8,Kahului Harbor
1976,38.9,Kahului Harbor
1977,16.2,Kahului Harbor
1978,60.9,Kahului Harbor
1979,26.2,Kahului Harbor
1980,57.6,Kahului Harbor
1981,81.8,Kahului Harbor
1982,4.9,Kahului Harbor
1983,17.4,Kahului Harbor
1984,58.8,Kahului Harbor
1985,31.3,Kahului Harbor
1986,-25.3,Kahului Harbor
1987,34.9,Kahului Harbor
1988,101.0,Kahului Harbor
1989,33.1,Kahului Harbor
1990,-16.3,Kahului Harbor
1991,19.2,Kahului Harbor
1992,78.2,Kahului Harbor
1993,63.2,Kahului Harbor
1994,37.8,Kahului Harbor
1995,96.8,Kahului Harbor
1996,97.3,Kahului Harbor
1997,73.7,Kahului Harbor
1998,13.1,Kahului Harbor
1999,35.6,Kahului Harbor
2000,8.1,Kahului Harbor
2001,48.4,Kahului Harbor
2002,37.6,Kahului Harbor
2003,114.1,Kahului Harbor
2004,119.3,Kahului Harbor
2005,90.2,Kahului Harbor
2006,102.5,Kahului Harbor
2007,72.5,Kahului Harbor
2008,71.0,Kahului Harbor
2009,23.2,Kahului Harbor
2010,53.0,Kahului Harbor
2011,63.5,Kahului Harbor
2012,38.2,Kahului Harbor
2013,59.6,Kahului Harbor
2014,93.7,Kahului Harbor
1965,0.0,Ketchikan
1966,97.1,Ketchikan
1967,117.7,Ketchikan
1968,206.0,Ketchikan
1969,84.8,Ketchikan
1970,53.8,Ketchikan
1971,16.8,Ketchikan
1972,22.7,Ketchikan
1973,13.2,Ketchikan
1974,37.7,Ketchikan
1975,15.9,Ketchikan
1976,88.8,Ketchikan
1977,72.7,Ketchikan
1978,36.4,Ketchikan
1979,40.1,Ketchikan
1980,77.7,Ketchikan
1981,103.9,Ketchikan
1982,54.1,Ketchikan
1983,149.2,Ketchikan
1984,104.1,Ketchikan
1985,-18.5,Ketchikan
1986,61.3,Ketchikan
1987,102.5,Ketchikan
1988,66.6,Ketchikan
1989,0.200000000001,Ketchikan
1990,34.3,Ketchikan
1991,50.7,Ketchikan
1992,115.4,Ketchikan
1993,46.9,Ketchikan
1994,61.7,Ketchikan
1995,34.3,Ketchikan
1996,26.9,Ketchikan
1997,101.7,Ketchikan
1998,59.0,Ketchikan
1999,45.8,Ketchikan
2000,15.8,Ketchikan
2001,34.5,Ketchikan
2002,1.4,Ketchikan
2003,65.4,Ketchikan
2004,33.5,Ketchikan
2005,77.8,Ketchikan
2006,46.1,Ketchikan
